Documento;Tipo_query;Versione;Budget;CI;Tempo_s;CO2_Emessa_g;Numero_filtri;Filtri_applicati;Parole_trovate;File_corretto_trovato
il signore degli anelli.pdf;Corta;Plain;9e-06;230.0;0.006523680000100285;2.0839533333653687e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;9e-06;230.0;0.00572835999992094;1.8298927777525226e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;9e-06;230.0;2.140000287909061e-06;6.836112030820612e-09;0;[];0;False
il signore degli anelli.pdf;Corta;Plain;1.42e-05;230.0;0.005789699999149888;1.8494874997284365e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;1.42e-05;230.0;0.006290200000512414;2.0093694446081327e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;1.42e-05;230.0;0.0022039600000425706;7.040427777913767e-06;1;['NER'];1;True
il signore degli anelli.pdf;Corta;Plain;2.4e-05;230.0;0.006286779999209102;2.008276944191797e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;2.4e-05;230.0;0.00602878000063356;1.9258602779801653e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;2.4e-05;230.0;0.0043358400005672594;1.3850600001812079e-05;2;['NER', 'NAME'];2;True
il signore degli anelli.pdf;Corta;Plain;3.4e-05;230.0;0.00634526000067126;2.026958055769986e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;3.4e-05;230.0;0.005873040000005858;1.8761100000018715e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;3.4e-05;230.0;0.006499619999522111;2.076267499847341e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Plain;4.35e-05;230.0;0.006046359999163542;1.9314761108439096e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;4.35e-05;230.0;0.005782940000062809;1.8473280555756196e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;4.35e-05;230.0;0.0058095200001844205;1.855818888947801e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Plain;5.3e-05;230.0;0.005926639999961481;1.8932322222099176e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;5.3e-05;230.0;0.00583003999927314;1.8623738886566977e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;5.3e-05;230.0;0.006063660000654636;1.93700250020912e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Plain;6.3e-05;230.0;0.005742540000210283;1.834422500067174e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;6.3e-05;230.0;0.005765340000652941;1.841705833541912e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;6.3e-05;230.0;0.005935099999624072;1.8959347221021344e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Plain;7.3e-05;230.0;0.005958660000032978;1.9034608333438685e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;7.3e-05;230.0;0.00600269999995362;1.917529166651851e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;7.3e-05;230.0;0.006337700000585755;2.024543055742672e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Media;Plain;9e-06;230.0;0.007961359999899286;2.5432122221900498e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;9e-06;230.0;0.00809575999955996;2.5861455554149872e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;9e-06;230.0;1.460000203223899e-06;4.663889538076344e-09;0;[];0;False
il signore degli anelli.pdf;Media;Plain;1.42e-05;230.0;0.007989500000985573;2.5522013892037247e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;1.42e-05;230.0;0.008136780000495492;2.5992491668249494e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;1.42e-05;230.0;0.0023944600005052054;7.648969446058295e-06;1;['NER'];2;True
il signore degli anelli.pdf;Media;Plain;2.4e-05;230.0;0.007330740000179503;2.3417641667240077e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;2.4e-05;230.0;0.0070952999994915444;2.2665541665042434e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;2.4e-05;230.0;0.004721120000613155;1.5081355557514246e-05;2;['NER', 'NAME'];6;True
il signore degli anelli.pdf;Media;Plain;3.4e-05;230.0;0.00719362000018009;2.2979619445019734e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;3.4e-05;230.0;0.007186380000348436;2.2956491667779723e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;3.4e-05;230.0;0.007044020000466844;2.2501730557046864e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Plain;4.35e-05;230.0;0.00723406000106479;2.3108802781179192e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;4.35e-05;230.0;0.007580579998466419;2.4215741661767734e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;4.35e-05;230.0;0.007627719999436522;2.4366327775977777e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Plain;5.3e-05;230.0;0.0074818200002482625;2.3900258334126394e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;5.3e-05;230.0;0.007179260000702925;2.2933747224467677e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;5.3e-05;230.0;0.007116159999714;2.2732177776864165e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Plain;6.3e-05;230.0;0.007310200000938493;2.3352027780775743e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;6.3e-05;230.0;0.007166819999838481;2.2894008332817368e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;6.3e-05;230.0;0.007366259998525493;2.3531108328623102e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Plain;7.3e-05;230.0;0.007011979999515461;2.2399380554007723e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;7.3e-05;230.0;0.0069896799999696665;2.232814444434755e-05;3;['NER', 'NAME', 'VERBS'];7;True
