Documento;Tipo_query;Versione;Budget;CI;Tempo_s;CO2_Emessa_g;Numero_filtri;Filtri_applicati;Parole_trovate;File_corretto_trovato
il signore degli anelli.pdf;Corta;Plain;2.4e-05;230.0;0.006021790000158944;1.923627361161885e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;2.4e-05;230.0;0.006032299999787938;1.9269847221544803e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;2.4e-05;230.0;0.004159079999953974;1.3285949999852973e-05;2;['NER', 'NAME'];2;True
il signore degli anelli.pdf;Corta;Plain;3.1e-05;230.0;0.005753590000676922;1.8379523613273503e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;3.1e-05;230.0;0.005762850000246544;1.840910416745424e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;3.1e-05;230.0;0.005816150000464404;1.857936805703907e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Plain;3.8e-05;230.0;0.005869410000013886;1.8749504166711027e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;3.8e-05;230.0;0.00622585000055551;1.9888131946218993e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;3.8e-05;230.0;0.006078059998617391;1.9416024995583337e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Plain;4.6e-05;230.0;0.0059697799995774405;1.9070130554205713e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;4.6e-05;230.0;0.005949929999769665;1.9006720832597544e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;4.6e-05;230.0;0.005987879999884172;1.9127949999629993e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Plain;5.3e-05;230.0;0.0056095299994922245;1.7919331942822387e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;5.3e-05;230.0;0.005620509999789647;1.7954406943772487e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;5.3e-05;230.0;0.005852379999487312;1.8695102776140025e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Plain;6e-05;230.0;0.006471730000339448;2.0673581945528794e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;6e-05;230.0;0.005878430000302614;1.8778318056522243e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;6e-05;230.0;0.006113129998993827;1.9528054163452505e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Plain;6.7e-05;230.0;0.005803730000116048;1.8539693055926264e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;6.7e-05;230.0;0.005879889999778243;1.8782981943736054e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;6.7e-05;230.0;0.006078870000419556;1.9418612501340248e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Plain;7.3e-05;230.0;0.005874389999371487;1.8765412497992253e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;Pattern;7.3e-05;230.0;0.007316699999864795;2.3372791666234767e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Corta;CA;7.3e-05;230.0;0.005840860000535031;1.8658302779486904e-05;3;['NER', 'NAME', 'VERBS'];2;True
il signore degli anelli.pdf;Media;Plain;2.4e-05;230.0;0.007224360000327579;2.30778166677131e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;2.4e-05;230.0;0.007044650000170805;2.250374305610118e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;2.4e-05;230.0;0.005226900000343449;1.6697041667763796e-05;2;['NER', 'NAME'];6;True
il signore degli anelli.pdf;Media;Plain;3.1e-05;230.0;0.007061999999859836;2.255916666621892e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;3.1e-05;230.0;0.006939789999159984;2.2168773608427723e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;3.1e-05;230.0;0.007223909999083844;2.307637916374006e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Plain;3.8e-05;230.0;0.0075317500002711315;2.405975694531056e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;3.8e-05;230.0;0.007180209999569342;2.293678194306873e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;3.8e-05;230.0;0.007136760000503273;2.2797983334941013e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Plain;4.6e-05;230.0;0.006998459999886108;2.2356191666302845e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;4.6e-05;230.0;0.007065939999665716;2.257175277670993e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;4.6e-05;230.0;0.007512199999837321;2.3997305555035888e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Plain;5.3e-05;230.0;0.007243109999399167;2.3137712498080672e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;5.3e-05;230.0;0.007306560000506579;2.3340400001618237e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;5.3e-05;230.0;0.007067839999945136;2.257782222204696e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Plain;6e-05;230.0;0.009877390000474407;3.155277361262658e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;6e-05;230.0;0.007048449999638251;2.2515881943288857e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;CA;6e-05;230.0;0.0071631700004218144;2.2882348612458574e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Plain;6.7e-05;230.0;0.007133580000299844;2.278782500095784e-05;3;['NER', 'NAME', 'VERBS'];7;True
il signore degli anelli.pdf;Media;Pattern;6.7e-05;230.0;0.0073097799999231935;2.3350686110865755e-05;3;['NER', 'NAME', 'VERBS'];7;True
